Designator,Mid X,Mid Y,Rotation,Layer
C1,169.3391,-104.8386,0.0,top
C10,153.5911,-99.2506,90.0,top
C11,158.5695,-99.022,270.0,top
C12,153.5911,-110.5536,90.0,top
C13,158.7981,-110.4266,270.0,top
C14,171.3965,-108.1406,180.0,top
C15,168.7041,-110.5536,90.0,top
C16,165.7831,-110.4266,270.0,top
C17,172.3644,-99.8728,270.0,top
C18,138.5289,-100.2666,90.0,top
C19,136.906,-104.14,180.0,top
C2,157.4011,-104.9656,180.0,top
C20,136.2937,-110.7314,270.0,top
C21,130.6576,-111.8108,270.0,top
C22,148.2317,-100.419,0.0,top
C23,148.2317,-99.3014,0.0,top
C24,140.5863,-111.4934,180.0,top
C25,135.6333,-107.8358,180.0,top
C26,140.5863,-100.1904,180.0,top
C27,138.0463,-110.7568,270.0,top
C28,148.2317,-98.2092,0.0,top
C29,145.3361,-111.4172,270.0,top
C3,157.4011,-106.1086,180.0,top
C30,143.2279,-111.4172,270.0,top
C31,147.4189,-111.4172,0.0,top
C32,148.2317,-108.1152,90.0,top
C33,147.3935,-110.2996,0.0,top
C34,137.7669,-107.7088,270.0,top
C35,131.4931,-101.181,90.0,top
C4,169.3391,-106.1086,0.0,top
C5,157.4011,-103.4416,180.0,top
C6,169.3391,-103.3146,0.0,top
C7,157.4011,-101.9176,180.0,top
C8,164.5131,-110.4266,270.0,top
C9,169.3391,-101.7906,0.0,top
CDONE1,151.0511,-110.4266,0.0,top
CN1,133.9061,-98.2376,0.0,top
CRG1,127.0,-111.252,0.0,top
J1,153.5911,-95.1656,0.0,top
J2,148.5911,-114.9756,0.0,top
J3,125.73,-104.946305,270.0,top
LED2,151.6099,-101.5112,180.0,top
LED3,151.5845,-102.832,180.0,top
PWR1,127.508,-98.806,180.0,top
R1,128.2927,-96.266,270.0,top
R10,154.1245,-102.832,180.0,top
R11,148.4095,-97.1804,180.0,top
R12,164.6174,-97.0534,0.0,top
R13,133.6013,-107.9882,90.0,top
R14,124.46,-111.252,180.0,top
R15,124.714,-99.06,180.0,top
R16,136.7,-105.28,180.0,top
R2,152.3211,-110.7568,90.0,top
R3,157.4011,-108.3946,0.0,top
R4,155.2421,-108.3946,0.0,top
R5,168.6787,-98.1838,0.0,top
R6,154.1245,-101.5112,180.0,top
R7,148.7143,-102.451,90.0,top
R8,131.3688,-108.0008,270.0,top
R9,129.27,-111.62,270.0,top
RGB0,164.6401,-98.8442,90.0,top
U$1,140.6371,-98.0314,180.0,top
U$2,133.604,-104.3306,180.0,top
U$3,149.9241,-105.8486,180.0,top
U1,163.4971,-104.5846,0.0,top
U2,156.2581,-110.6806,0.0,top
U3,171.2441,-110.2996,180.0,top
U4,156.1311,-99.2506,0.0,top
U5,143.1517,-105.4736,0.0,top
U6,145.3615,-98.8188,90.0,top
U7,133.3981,-110.8076,0.0,top
U8,169.4407,-99.9618,0.0,top
Y1,137.0303,-102.3748,180.0,top
